Id,SalePrice
1461,143806.81
1462,780510.06
1463,176307.64
1464,180254.73
1465,174462.27
1466,172200.3
1467,162172.0
1468,161324.67
1469,164712.97
1470,138901.95
1471,186667.34
1472,96575.18
1473,97859.445
1474,142620.36
1475,114231.85
1476,259486.56
1477,202447.3
1478,224788.75
1479,217444.27
1480,339512.38
1481,261377.62
1482,177349.81
1483,151999.3
1484,162354.61
1485,147255.31
1486,180754.64
1487,270232.8
1488,212359.95
1489,170242.95
1490,197198.61
1491,177382.12
1492,122019.18
1493,159058.8
1494,253695.12
1495,251609.0
1496,199619.64
1497,190653.72
1498,151388.52
1499,134563.92
1500,144227.1
1501,161619.88
1502,126005.664
1503,219208.44
1504,207169.38
1505,199752.75
1506,202018.17
1507,257824.97
1508,195446.92
1509,163371.0
1510,161413.16
1511,152358.06
1512,186254.62
1513,162047.39
1514,165905.3
1515,211213.73
1516,150540.52
1517,143631.25
1518,175913.95
1519,208280.53
1520,143607.28
1521,144695.66
1522,171086.36
1523,137736.12
1524,127233.25
1525,126228.9
1526,128563.734
1527,130764.92
1528,143766.38
1529,150885.77
1530,175705.38
1531,160343.62
1532,109404.516
1533,174872.53
1534,133155.97
1535,157876.84
1536,130848.51
1537,127876.516
1538,150125.03
1539,190848.38
1540,160383.86
1541,157548.95
1542,167704.94
1543,181570.98
1544,108059.7
1545,124437.086
1546,139801.12
1547,149781.67
1548,146920.34
1549,141974.53
1550,160866.53
1551,132230.55
1552,171706.52
1553,140382.97
1554,115920.92
1555,167283.86
1556,120255.586
1557,133686.31
1558,116361.09
1559,138031.98
1560,171673.12
1561,166281.48
1562,133240.45
1563,127644.16
1564,177495.33
1565,158210.84
1566,180342.08
1567,113948.625
1568,207167.19
1569,155218.23
1570,133469.38
1571,120674.69
1572,148604.3
1573,186689.06
1574,150583.31
1575,198176.9
1576,232294.23
1577,170096.89
1578,145625.53
1579,147087.03
1580,180213.14
1581,139648.42
1582,132923.66
1583,269639.7
1584,214848.44
1585,144826.81
1586,98176.52
1587,112399.07
1588,146175.56
1589,135988.58
1590,139512.38
1591,112612.59
1592,143043.84
1593,124074.36
1594,172441.7
1595,142500.84
1596,203582.05
1597,198480.47
1598,156998.8
1599,161979.4
1600,166078.47
1601,101540.33
1602,145031.5
1603,109720.484
1604,209093.33
1605,214728.4
1606,160900.14
1607,222661.12
1608,172611.83
1609,157091.95
1610,149632.19
1611,142279.1
1612,173088.56
1613,170532.52
1614,112451.07
1615,82607.51
1616,89567.21
1617,96412.2
1618,128674.62
1619,136715.47
1620,224864.66
1621,154640.81
1622,147296.33
1623,204965.98
1624,210612.52
1625,130995.21
1626,176174.86
1627,180017.66
1628,239644.3
1629,158608.31
1630,526560.2
1631,181617.56
1632,202206.48
1633,149140.25
1634,180577.52
1635,166151.98
1636,152049.17
1637,211577.03
1638,195982.4
1639,178639.23
1640,237321.52
1641,171331.94
1642,200608.98
1643,200493.84
1644,197220.62
1645,205499.72
1646,152160.14
1647,150078.66
1648,148070.4
1649,138739.64
1650,140888.75
1651,138029.89
1652,91238.45
1653,86320.36
1654,149546.03
1655,105670.59
1656,144619.92
1657,152174.94
1658,152066.72
1659,98269.26
1660,152440.61
1661,301025.62
1662,288454.78
1663,278327.2
1664,320364.7
1665,231741.72
1666,242843.83
1667,213213.67
1668,247788.48
1669,205880.28
1670,243983.62
1671,231023.02
1672,306808.9
1673,243134.66
1674,220189.22
1675,184987.84
1676,192962.19
1677,177192.25
1678,319893.0
1679,270749.78
1680,241693.45
1681,192424.3
1682,223527.9
1683,184207.95
1684,157063.64
1685,162002.58
1686,161994.86
1687,147331.73
1688,178438.48
1689,172972.72
1690,168485.31
1691,160681.47
1692,209168.31
1693,148736.44
1694,168998.34
1695,148096.95
1696,235990.61
1697,148424.84
1698,285994.47
1699,265141.53
1700,224215.39
1701,242660.02
1702,232142.1
1703,209145.17
1704,239640.88
1705,181567.34
1706,313366.9
1707,181318.0
1708,183036.78
1709,216630.4
1710,192129.08
1711,213236.25
1712,219036.03
1713,226175.52
1714,201114.11
1715,188262.61
